Number,LAT,LON,Jurisdiction,Station_name,x1,x2,x3,x4,Area,FDC.total,runoff,rbias,NSE,r.sq.sqrt,r.sq.log,objFun,FDC.low,FDC.mid,FDC.high,AC,Peaks,slope,KGext
222213,-36.955,148.3259,VIC,Suggan,495.5335837,0.669841251,12.68010608,1.28300072,361.4,0.9305,0.218703646,-0.00670926,0.64026853,0.578797368,0.523606589,0.579735367,0.902312139,0.958190149,0.987547488,0.947869756,0.90021645,0.941130742,15
223202,-37.2647,147.7241,VIC,Tambo,499.0142576,0.297708116,11.6921556,1.557286038,899.3,0.9293,0.1201669,-0.01156882,0.436111471,0.5142349,0.490980846,0.513558376,0.984393064,0.972050401,0.96939637,0.937969736,0.954242424,0.980282686,15
224206,-37.4093,147.087,VIC,Wonnangatta,132.8640927,2.10532513,26.37951776,1.226343751,1099.5,0.9216,0.475665867,-0.015834092,0.482989967,0.421765094,0.311685811,0.422238369,0.567052023,0.828980527,0.865555087,0.958322267,0.545887446,0.66770318,15
224213A,-37.4951,147.2687,VIC,Dargo,309.0381273,2.010476523,25.28301343,1.119176842,669.7,0.8815,0.38598452,-0.008943749,0.383278263,0.27303223,0.157128448,0.290885503,0.589402697,0.81489118,0.890037991,0.979761858,0.62965368,0.700777385,15
224214A,-37.4952,147.3938,Vic,Wentworth,142.2813177,0.230617348,56.21981411,0.953718569,438.9,0.9363,0.14322777,0.006561407,0.752887579,0.689666003,0.62889684,0.724100289,0.968381503,0.995990836,0.946390882,0.912709161,0.926212121,0.936678445,15
225219,-37.5162,146.5665,VIC,Macalister,221.5686088,1.598566209,40.00804635,1.335621968,570.4,0.9621,0.495217164,0.002667483,0.612007016,0.690603412,0.651838902,0.71019273,0.592870906,0.845017182,0.974672858,0.993494579,0.762121212,0.777385159,15
227225A,-38.4695,146.5551,VIC,Tarra,135.8438271,-1.8181136,106.1969527,0.575377624,20.7,0.8381,0.414452115,0.020601879,0.747204917,0.673350315,0.512500578,0.704013804,0.625433526,0.922107675,0.687631912,0.9791416,0.454112554,0.538515901,15
227226,-38.4996,146.161,VIC,Tarwin,65.32491641,0.074141318,49.30228281,0.502075875,129.7,0.911,0.321777338,0.021446854,0.666073183,0.747916103,0.755393557,0.794944501,0.941040462,0.89255441,0.768362178,0.690452497,0.947835498,0.821908127,15
227227,-38.3929,145.9574,VIC,Wilkur,81.88474007,0.269873058,16.1421283,1.266672503,105.8,0.9346,0.375314149,0.024866565,0.756692773,0.787347023,0.60149168,0.807523237,0.724913295,0.717296678,0.838539468,0.849219683,0.957142857,0.990106007,15
230210,-37.4718,144.5243,VIC,Saltwater,77.21708215,-3.630495371,17.91059858,1.134775552,38.7,0.9339,0.149194686,0.029520039,0.874692097,0.749422813,0.5818514,0.792430905,0.995414258,0.985578465,0.94744618,0.695816245,0.930519481,0.955335689,15
231213,-37.4964,144.361,VIC,Lerderderg,236.8433175,-4.875768331,28.90475792,1.295990946,152.1,0.9403,0.199478451,0.023051026,0.830629233,0.848945615,0.845719738,0.855334489,0.99761079,0.94696449,0.914098776,0.756762653,0.952164502,0.922120141,15
235205,-38.6456,143.444,VIC,Arkins,265.8647769,-4.512196529,226.452655,1.0063976,4.5,0.984,0.545107081,-0.013391145,0.909397994,0.929014038,0.93025704,0.942666449,0.87283237,0.974799542,0.927184466,0.923027523,0.993506494,0.873498233,15
236213,-37.5319,143.4638,VIC,Mount,89.23869073,-1.439318663,9.000357026,2.237954889,448.3,0.8844,0.064582225,0.0252927,0.62565134,0.73342735,0.580419005,0.745319808,0.991857418,0.988089347,0.952226678,0.921005233,0.993376623,0.961349823,15
238208,-37.3744,142.5071,VIC,Jimmy,361.4445038,0.562422538,22.51572673,1.263982486,23.3,0.9394,0.211335164,-0.007271937,0.732588679,0.798052124,0.790778426,0.821145186,0.954855491,0.972050401,0.924968341,0.816097332,0.995021645,0.910883392,15
401203,-36.946,147.6057,VIC,Mitta,335.1651553,1.902409462,36.5944254,1.195897004,1518.8,0.9773,0.391928289,-0.025217619,0.619005961,0.558173645,0.500211816,0.589844805,0.980346821,0.949140893,0.979949346,0.937793248,0.848484848,0.972438163,15
401208,-36.2119,147.6777,VIC,Cudgewa,697.4588999,0.335708804,41.12015901,1.049916455,351.1,0.9701,0.30985963,-0.039952737,0.759075206,0.758236187,0.720444168,0.778009306,0.723314066,0.921534937,0.954622203,0.791620123,0.862770563,0.824734982,15
401210,-36.5685,147.4134,VIC,Snowy,381.1586052,3.121177226,137.7769729,1.225882363,415.7,0.9864,0.500743395,-0.024997511,0.824453723,0.841367595,0.833156337,0.853880707,0.855491329,0.974455899,0.901857324,0.98723629,0.877922078,0.983745583,15
401212,-36.445,147.8295,VIC,Nariel,280.7566212,4.121025209,150.9048672,1.5928107,251.6,0.9769,0.544374915,-0.009886976,0.824935271,0.829587502,0.817545518,0.847814479,0.895375723,0.965521191,0.80265935,0.99013209,0.928571429,0.772438163,15
401216,-36.9327,147.4722,VIC,Big,305.0062771,4.619195211,63.5158446,0.945576337,356.8,0.9424,0.790557108,0.006741787,0.646106948,0.627826746,0.594015814,0.646239243,0.44238921,0.772050401,0.924018573,0.986951085,0.615151515,0.659363958,15
401217,-36.7566,147.7093,VIC,Gibbo,349.9936349,0.481612457,127.222525,1.590097519,389.8,0.9957,0.328820948,-0.018597066,0.818849929,0.837399803,0.810935175,0.854856193,0.921001927,0.966208477,0.977838751,0.988471969,0.990909091,0.980918728,15
402204,-36.3046,146.9068,VIC,Yackandandah,281.8315234,0.080258007,42.27402536,1.105932691,284.1,0.9683,0.266254663,-0.029088432,0.796730164,0.825076802,0.776354261,0.855769119,0.856223507,0.95532646,0.994617982,0.725752847,0.933116883,0.924805654,15
402206,-36.5393,147.0442,VIC,Running,207.1615695,-0.671751642,240.060343,1.193289201,128.1,0.9781,0.315765289,-0.023115762,0.818065668,0.870788638,0.865501087,0.87737537,0.93371869,0.981786942,0.958843394,0.99644822,0.983982684,0.930742049,15
